"exposure","outcome","exposure_label","outcome_label","n_snps","method","b","se","pval","or","or_lci","or_uci","fstat","steiger","het_q","het_p","egger_intercept","egger_p","presso_global_p","presso_outlier","note"
"PM25_air_pollution","LungCancer","PM2.5空气污染","肺癌",7,"IVW",-0.844821435743317,0.547276637097364,0.122665237534321,0.429634068649778,0.146976341923101,1.25588533861551,31.8,"correct",9.61793317351603,0.0868136827848895,-0.0187688392317953,0.334147970297647,"0.169",FALSE,"OK"
"PM25_air_pollution","LungCancer","PM2.5空气污染","肺癌",7,"MR Egger",-0.217820065274472,0.798091567261112,0.79582353302369,0.804270144775363,0.168287822366885,3.84371522953564,31.8,"correct",NA,NA,NA,NA,NA,NA,"OK"
"PM25_air_pollution","LungCancer","PM2.5空气污染","肺癌",7,"Weighted median",-0.399903886456887,0.498593483164854,0.422515934580676,0.670384475966528,0.25229730289591,1.78129270689164,31.8,"correct",NA,NA,NA,NA,NA,NA,"OK"
"PM25_air_pollution","LungCancer","PM2.5空气污染","肺癌",7,"Weighted mode",-0.226205853484562,0.52493982222095,0.681578962059382,0.797553905515503,0.28505078972269,2.23150489364316,31.8,"correct",NA,NA,NA,NA,NA,NA,"OK"
"PM25_air_pollution","IschStroke","PM2.5空气污染","缺血性脑卒中",8,"IVW",0.227437421604126,0.241699315522524,0.346708324304922,1.25537887769963,0.781692970153348,2.01610630611814,36.6,"reversed",19.0158378877653,0.00413696875214636,0.0307805158195702,0.0207867990539163,"0.344",FALSE,"OK"
"PM25_air_pollution","IschStroke","PM2.5空气污染","缺血性脑卒中",8,"MR Egger",-0.18028484882678,0.207918632273501,0.419212077511384,0.835032319554724,0.555545164996767,1.25512562908364,36.6,"reversed",NA,NA,NA,NA,NA,NA,"OK"
"PM25_air_pollution","IschStroke","PM2.5空气污染","缺血性脑卒中",8,"Weighted median",0.13142868545256,0.0984275314828051,0.181783488039394,1.14045657367783,0.940363029899885,1.38312668096218,36.6,"reversed",NA,NA,NA,NA,NA,NA,"OK"
"PM25_air_pollution","IschStroke","PM2.5空气污染","缺血性脑卒中",8,"Weighted mode",0.114481752330333,0.0981430812126556,0.281619567018013,1.12129217990798,0.925076643701596,1.35912646944782,36.6,"reversed",NA,NA,NA,NA,NA,NA,"OK"
"PM25_air_pollution","HeartFailure","PM2.5空气污染","心力衰竭",7,"IVW",0.885526597695227,0.654616442016247,0.176138339776849,2.42426066549366,0.671983408392019,8.74581083530448,37.5,"reversed",45.953599153448,9.28181412474317e-09,0.022396368093355,0.330102518873911,"<0.001",TRUE,"OK"
"PM25_air_pollution","HeartFailure","PM2.5空气污染","心力衰竭",7,"MR Egger",-0.154324366160961,1.16058067753355,0.899401612980106,0.856993996070482,0.0881194063306228,8.33458530740946,37.5,"reversed",NA,NA,NA,NA,NA,NA,"OK"
